n,ell,degree_sequence,delta_sq,delta,dG_hyd_kcal_mol,dG_unc,n_isomers,names
1,0,"(0,)",0,0.000000,2.0000,0.2000,1,methane
2,2,"(1, 1)",0,0.000000,1.8300,0.6000,1,ethane
3,2,"(2, 1, 1)",0,0.000000,2.0000,0.2000,1,propane
4,2,"(2, 2, 1, 1)",2,1.414214,2.1000,0.2000,1,n-butane
4,3,"(3, 1, 1, 1)",0,0.000000,2.3000,0.2000,1,isobutane
5,2,"(2, 2, 2, 1, 1)",2,1.414214,2.3000,0.2000,1,n-pentane
5,3,"(3, 2, 1, 1, 1)",2,1.414214,2.3800,0.6000,1,isopentane
5,4,"(4, 1, 1, 1, 1)",0,0.000000,2.5100,0.6000,1,neopentane
6,2,"(2, 2, 2, 2, 1, 1)",4,2.000000,2.4800,0.6000,1,hexane
6,3,"(3, 2, 2, 1, 1, 1)",2,1.414214,2.5100,0.6000,2,3-methylpentane; isohexane
6,4,"(3, 3, 1, 1, 1, 1)",4,2.000000,2.3400,0.6000,1,"2,3-dimethylbutane"
6,4,"(4, 2, 1, 1, 1, 1)",2,1.414214,2.5100,0.6000,1,"2,2-dimethylbutane"
7,2,"(2, 2, 2, 2, 2, 1, 1)",8,2.828427,2.6700,0.6000,1,heptane
7,3,"(3, 2, 2, 2, 1, 1, 1)",4,2.000000,2.8200,0.6100,2,2-methylhexane; 3-methylhexane
7,4,"(4, 2, 2, 1, 1, 1, 1)",2,1.414214,2.7200,0.6210,2,"2,2-dimethylpentane; 3,3-dimethylpentane"
7,4,"(3, 3, 2, 1, 1, 1, 1)",4,2.000000,2.6750,0.6197,2,"2,4-dimethylpentane; 2,3-dimethylpentane"
8,2,"(2, 2, 2, 2, 2, 2, 1, 1)",12,3.464102,2.8800,0.6000,1,octane
8,3,"(3, 2, 2, 2, 2, 1, 1, 1)",6,2.449490,2.9700,0.6000,1,3-methylheptane
8,5,"(4, 3, 2, 1, 1, 1, 1, 1)",4,2.000000,2.8900,0.6000,1,"2,2,4-trimethylpentane"
8,5,"(3, 3, 3, 1, 1, 1, 1, 1)",6,2.449490,2.5600,0.6000,1,"2,3,4-trimethylpentane"
9,2,"(2, 2, 2, 2, 2, 2, 2, 1, 1)",16,4.000000,3.1300,0.6000,1,nonane
9,5,"(4, 3, 2, 2, 1, 1, 1, 1, 1)",4,2.000000,2.9300,0.6000,1,"2,2,5-trimethylhexane"
10,2,"(2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",20,4.472136,3.1600,0.6000,1,decane
